GeoAreaName,Sex,TimePeriod_base,Value_base,Education level,Type of skill,TimePeriod_recent,Value_recent,PercentagePointChange
Oman,MALE,2011,18.07741,PRIMAR,SKILL_MATH,2019,31.74374,13.66633
Oman,FEMALE,2011,22.56289,PRIMAR,SKILL_MATH,2019,34.40724,11.84435
Pakistan,BOTHSEX,2019,7.5087,PRIMAR,SKILL_MATH,2019,7.5087,0
Pakistan,FEMALE,2019,7.54092,PRIMAR,SKILL_MATH,2019,7.54092,0
Pakistan,MALE,2019,7.5636,PRIMAR,SKILL_MATH,2019,7.5636,0
Qatar,FEMALE,2006,24.82,LOWSEC,SKILL_READ,2022,61.44,36.62
Qatar,FEMALE,2006,39.73697,PRIMAR,SKILL_READ,2021,83.5311,43.79413
Qatar,MALE,2006,26.1791,PRIMAR,SKILL_READ,2021,77.0682,50.8891
Qatar,BOTHSEX,2006,18.43269,LOWSEC,SKILL_READ,2022,52.68,34.24731
Qatar,BOTHSEX,2006,32.79137,PRIMAR,SKILL_READ,2021,80.39262,47.60125
Qatar,MALE,2006,12.2,LOWSEC,SKILL_READ,2022,44.05,31.85
Qatar,BOTHSEX,2007,3.66729,LOWSEC,SKILL_MATH,2022,43.51,39.84271
Qatar,MALE,2007,2.01365,PRIMAR,SKILL_MATH,2019,40.48796,38.47431
Qatar,FEMALE,2007,2.07102,PRIMAR,SKILL_MATH,2019,39.22786,37.15684
Qatar,BOTHSEX,2007,2.04049,PRIMAR,SKILL_MATH,2019,39.82294,37.78245
Qatar,MALE,2007,3.43348,LOWSEC,SKILL_MATH,2022,40.99,37.55652
Qatar,FEMALE,2007,3.92119,LOWSEC,SKILL_MATH,2022,46.07,42.14881
Saudi Arabia,MALE,2011,51.09471,PRIMAR,SKILL_READ,2021,62.66936,11.57465
Saudi Arabia,FEMALE,2011,78.09803,PRIMAR,SKILL_READ,2021,77.21828,-0.87975
Saudi Arabia,BOTHSEX,2011,64.98645,PRIMAR,SKILL_READ,2021,71.07144,6.08499
Saudi Arabia,FEMALE,2011,24.67706,PRIMAR,SKILL_MATH,2019,25.06196,0.3849
Saudi Arabia,MALE,2011,24.09193,PRIMAR,SKILL_MATH,2019,21.31697,-2.77496
Saudi Arabia,BOTHSEX,2011,24.39449,PRIMAR,SKILL_MATH,2019,23.1094,-1.28509
Saudi Arabia,MALE,2018,34.47409,LOWSEC,SKILL_READ,2022,29.05,-5.42409
Saudi Arabia,FEMALE,2018,61.66969,LOWSEC,SKILL_READ,2022,45.39,-16.27969
Saudi Arabia,BOTHSEX,2018,27.27618,LOWSEC,SKILL_MATH,2022,29.98,2.70382
Saudi Arabia,BOTHSEX,2018,47.64466,LOWSEC,SKILL_READ,2022,37.4,-10.24466
Saudi Arabia,FEMALE,2022,28.64,LOWSEC,SKILL_MATH,2022,28.64,0
Saudi Arabia,MALE,2022,31.4,LOWSEC,SKILL_MATH,2022,31.4,0
Syria,FEMALE,2003,5.70325,LOWSEC,SKILL_MATH,2011,15.76695,10.0637
Syria,MALE,2003,6.58026,LOWSEC,SKILL_MATH,2011,18.81409,12.23383
Syria,BOTHSEX,2003,7.2342,LOWSEC,SKILL_MATH,2011,17.28322,10.04902
United Arab Emirates,BOTHSEX,2009,60.17111,LOWSEC,SKILL_READ,2022,52,-8.17111
United Arab Emirates,MALE,2009,47.12,LOWSEC,SKILL_READ,2022,44,-3.12
United Arab Emirates,FEMALE,2009,73.19,LOWSEC,SKILL_READ,2022,60.42,-12.77
United Arab Emirates,BOTHSEX,2011,42.47908,LOWSEC,SKILL_MATH,2022,51,8.52092
